EMPLOYEEID;DIVISIONID;DEPARTMENTID;JOBID;JOBCLASSIFICATIONID;MANAGERID;EXITREASON;DATE;EXITDATE;FTE;STANDARDWEEKLYHOURS;WORKINGDAYSPERWEEK;SALARY
E000094;DIV03;DEP032;444;JC_Expert;M237930;Undisclosed;20200127;20991231;1;40;5; 107.866,00 
E000245;DIV03;DEP032;252;JC_Specialist;M266882;Undisclosed;20190905;20991231;1;40;5; 47.482,00 
E000249;DIV09;DEP032;443;JC_Senior specialist;M300121;Undisclosed;20191104;20991231;1;40;5; 52.349,00 
E000392;DIV03;DEP032;445;JC_Manager;M237930;Undisclosed;20191205;20991231;1;40;5; 81.716,00 
E000707;DIV03;DEP011;442;JC_Specialist;M237930;Undisclosed;20190926;20991231;1;40;5; 266.525,00 
E000849;DIV03;DEP011;443;JC_Senior specialist;M237930;Undisclosed;20190912;20991231;1;40;5; 56.755,00 
E000899;DIV03;DEP011;252;JC_Specialist;M237930;Undisclosed;20191225;20991231;1;40;5; 69.909,00 
E000928;DIV09;DEP011;444;JC_Expert;M300121;Undisclosed;20191126;20991231;1;40;5; 54.777,00 
E001085;DIV03;DEP011;452;JC_Senior specialist;M237930;Undisclosed;20191202;20991231;1;40;5; 112.650,00 
E001516;DIV02;DEP011;445;JC_Manager;M252825;Undisclosed;20170103;20991231;1;40;5; 93.234,00 
E001724;DIV03;DEP011;321;JC_Specialist;M237930;Undisclosed;20190503;20991231;1;40;5; 251.818,00 
E001747;DIV04;DEP011;443;JC_Senior specialist;M096889;Undisclosed;20190911;20991231;1;40;5; 56.204,00 
E001945;DIV03;DEP011;461;JC_Associate;M237930;Undisclosed;20190718;20991231;1;40;5; 75.800,00 
E002033;DIV03;DEP011;402;JC_Specialist;M266882;Undisclosed;20191003;20991231;1;40;5; 25.090,00 
E002050;DIV09;DEP012;443;JC_Senior specialist;M300121;Undisclosed;20191004;20991231;1;40;5; 40.282,00 
E002358;DIV03;DEP012;261;JC_Associate;M237930;Undisclosed;20190905;20991231;1;40;5; 92.196,00 
E003039;DIV04;DEP012;461;JC_Associate;M019974;Undisclosed;20191123;20991231;1;40;5; 41.347,00 
E003114;DIV03;DEP012;442;JC_Specialist;M237930;Undisclosed;20191126;20991231;1;40;5; 80.084,00 
E003139;DIV03;DEP013;444;JC_Expert;M266882;Undisclosed;20191011;20991231;1;40;5; 31.528,00 
E004551;DIV04;DEP013;383;JC_Senior specialist;M096889;Undisclosed;20191130;20991231;1;40;5; 91.980,00 
E005043;DIV03;DEP013;322;JC_Senior specialist;M266882;Undisclosed;20191113;20991231;1;40;5; 29.606,00 
E005292;DIV02;DEP013;461;JC_Associate;M252825;Undisclosed;20190906;20991231;1;40;5; 109.500,00 
E005935;DIV03;DEP013;445;JC_Manager;M237930;Undisclosed;20190802;20991231;1;40;5; 266.579,00 
E006070;DIV03;DEP013;444;JC_Expert;M237930;Undisclosed;20190920;20991231;1;40;5; 111.066,00 
E006494;DIV02;DEP013;411;JC_Associate;M252825;Undisclosed;20191113;20991231;1;40;5; 91.165,00 
E007063;DIV02;DEP013;322;JC_Senior specialist;M252825;Undisclosed;20191116;20991231;1;40;5; 56.687,00 
E007561;DIV09;DEP013;443;JC_Senior specialist;M300121;Undisclosed;20191111;20991231;1;40;5; 50.578,00 
E008043;DIV04;DEP013;452;JC_Senior specialist;M096889;Undisclosed;20190714;20991231;1;40;5; 94.010,00 
E008099;DIV02;DEP013;454;JC_Manager;M252825;Undisclosed;20191207;20991231;1;40;5; 69.293,00 
E009099;DIV02;DEP013;445;JC_Manager;M252825;Undisclosed;20190419;20991231;1;40;5; 283.613,00 
E009731;DIV02;DEP014;450;JC_Associate;M252825;Undisclosed;20190708;20991231;1;40;5; 12.627,00 
E009732;DIV05;DEP014;293;JC_Senior specialist;M044139;Undisclosed;20190829;20991231;1;40;5; 97.288,00 
E009897;DIV02;DEP014;452;JC_Senior specialist;M252825;Undisclosed;20190828;20991231;1;40;5; 26.368,00 
E010072;DIV05;DEP014;293;JC_Senior specialist;M044139;Undisclosed;20191004;20991231;1;40;5; 32.771,00 
E010127;DIV03;DEP014;444;JC_Expert;M237930;Undisclosed;20190926;20991231;1;40;5; 43.322,00 
E010260;DIV03;DEP014;445;JC_Manager;M237930;Undisclosed;20190627;20991231;1;40;5; 52.243,00 
E010631;DIV02;DEP014;453;JC_Expert;M252825;Undisclosed;20190904;20991231;1;40;5; 36.394,00 
E010869;DIV09;DEP014;252;JC_Specialist;M300121;Undisclosed;20190911;20991231;1;40;5; 78.133,00 
E011085;DIV02;DEP014;455;JC_Director;M252825;Undisclosed;20191116;20991231;1;40;5; 17.811,00 
E011786;DIV03;DEP014;445;JC_Manager;M237930;Undisclosed;20190904;20991231;1;40;5; 21.054,00 
E011803;DIV02;DEP014;452;JC_Senior specialist;M252825;Undisclosed;20191102;20991231;1;40;5; 48.295,00 
E012040;DIV03;DEP014;443;JC_Senior specialist;M237930;Undisclosed;20191124;20991231;1;40;5; 50.358,00 
E012863;DIV02;DEP014;450;JC_Associate;M252825;Undisclosed;20190815;20991231;1;40;5; 79.181,00 
E012908;DIV01;DEP014;331;JC_Specialist;M144808;Undisclosed;20190926;20991231;1;40;5; 46.751,00 
E012910;DIV02;DEP014;450;JC_Associate;M252825;Undisclosed;20191206;20991231;1;40;5; 85.087,00 
E012911;DIV03;DEP021;443;JC_Senior specialist;M237930;Undisclosed;20190906;20991231;1;40;5; 45.070,00 
E013049;DIV03;DEP021;442;JC_Specialist;M237930;Undisclosed;20191103;20991231;1;40;5; 82.423,00 
E013080;DIV03;DEP021;461;JC_Associate;M266882;Undisclosed;20191113;20991231;1;40;5; 56.985,00 
E013296;DIV09;DEP021;402;JC_Specialist;M300121;Undisclosed;20191129;20991231;1;40;5; 41.093,00 
E014311;DIV09;DEP021;444;JC_Expert;M300121;Undisclosed;20191215;20991231;1;40;5; 42.538,00 
E014813;DIV09;DEP021;403;JC_Senior specialist;M300121;Undisclosed;20191127;20991231;1;40;5; 45.576,00 
E014919;DIV09;DEP021;251;JC_Associate;M300121;Undisclosed;20190717;20991231;1;40;5; 44.110,00 
E015365;DIV02;DEP021;252;JC_Specialist;M252825;Undisclosed;20191010;20991231;1;40;5; 85.927,00 
E015570;DIV02;DEP021;452;JC_Senior specialist;M252825;Undisclosed;20191130;20991231;1;40;5; 39.050,00 
E016145;DIV02;DEP021;450;JC_Associate;M252825;Undisclosed;20190724;20991231;1;40;5; 62.131,00 
E016647;DIV02;DEP021;442;JC_Specialist;M252825;Undisclosed;20191123;20991231;1;40;5; 25.502,00 
E016813;DIV03;DEP021;461;JC_Associate;M266882;Undisclosed;20190425;20991231;1;40;5; 39.617,00 
E016945;DIV03;DEP021;442;JC_Specialist;M237930;Undisclosed;20190724;20991231;1;40;5; 37.609,00 
E017149;DIV04;DEP021;261;JC_Associate;M019974;Undisclosed;20190925;20991231;1;40;5; 38.405,00 
E017164;DIV09;DEP021;252;JC_Specialist;M300121;Undisclosed;20191215;20991231;1;40;5; 53.467,00 
E017429;DIV02;DEP021;452;JC_Senior specialist;M252825;Undisclosed;20191222;20991231;1;40;5; 18.539,00 
E017597;DIV03;DEP021;443;JC_Senior specialist;M237930;Undisclosed;20190714;20991231;1;40;5; 45.293,00 
E017643;DIV02;DEP021;452;JC_Senior specialist;M252825;Undisclosed;20191113;20991231;1;40;5; 19.665,00 
E017904;DIV02;DEP021;252;JC_Specialist;M252825;Undisclosed;20191107;20991231;1;40;5; 61.578,00 
E018432;DIV03;DEP021;455;JC_Director;M237930;Undisclosed;20191027;20991231;1;40;5; 84.818,00 
E018789;DIV03;DEP021;446;JC_Director;M237930;Undisclosed;20190828;20991231;1;40;5; 48.565,00 
E019006;DIV09;DEP021;445;JC_Manager;M300121;Undisclosed;20190419;20991231;1;40;5; 58.462,00 
E019045;DIV05;DEP021;293;JC_Senior specialist;M044139;Undisclosed;20191110;20991231;1;40;5; 77.832,00 
E019248;DIV03;DEP021;442;JC_Specialist;M237930;Undisclosed;20191003;20991231;1;40;5; 55.353,00 
E019441;DIV03;DEP021;445;JC_Manager;M237930;Undisclosed;20190831;20991231;1;40;5; 58.475,00 
E019473;DIV09;DEP021;401;JC_Associate;M300121;Undisclosed;20191113;20991231;1;40;5; 121.112,00 
E299668;DIV03;DEP021;445;JC_Manager;M237930;Undisclosed;20140103;20991231;1;40;5; 65.459,00 
E020599;DIV02;DEP021;261;JC_Associate;M252825;Undisclosed;20210105;20991231;1;40;5; 55.632,00 
E023550;DIV03;DEP021;361;JC_Associate;M237930;Undisclosed;20191106;20991231;1;40;5; 18.188,00 
E025067;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20191103;20991231;1;40;5; 17.479,00 
E029891;DIV03;DEP021;321;JC_Specialist;M266882;Undisclosed;20210127;20991231;1;40;5; 19.510,00 
E031110;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20191118;20991231;1;40;5; 36.317,00 
E032136;DIV02;DEP021;442;JC_Specialist;M252825;Undisclosed;20180103;20991231;1;40;5; 27.688,00 
E032226;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 41.138,00 
E032265;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 46.212,00 
E032510;DIV03;DEP021;444;JC_Expert;M237930;Undisclosed;20180103;20991231;1;40;5; 70.647,00 
E033083;DIV04;DEP021;462;JC_Specialist;M095280;Undisclosed;20180103;20991231;1;40;5; 47.305,00 
E033329;DIV02;DEP021;450;JC_Associate;M252825;Undisclosed;20180103;20991231;1;40;5; 78.706,00 
E033391;DIV03;DEP021;253;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 108.205,00 
E033514;DIV02;DEP021;453;JC_Expert;M252825;Undisclosed;20180103;20991231;1;40;5; 101.367,00 
E033711;DIV03;DEP021;383;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 135.852,00 
E034304;DIV03;DEP021;452;JC_Senior specialist;M237930;Undisclosed;20180103;20991231;1;40;5; 107.534,00 
E034691;DIV09;DEP021;461;JC_Associate;M300121;Undisclosed;20180103;20991231;1;40;5; 30.453,00 
